Question	Answer 1	Answer 2	Answer 3	Answer 4	Time limit (seconds)	Correct answer(s)	Image link
The Blair Witch Project is shot as…	Found footage	One long take	Black and white	Stop motion	20	1	https://image.tmdb.org/t/p/w342/9050VGrYjYrEjpOvDZVAngLbg1f.jpg
The Conjuring (2013): the Warrens are…	Ghost hunters	FBI agents	Priests	News reporters	20	1	https://image.tmdb.org/t/p/w342/wVYREutTvI2tmxr6ujrHT704wGF.jpg
Jaws (1975): what animal terrorizes Amity Island?	Great white shark	Giant squid	Killer whale	Saltwater croc	20	1	https://image.tmdb.org/t/p/w342/lxM6kqilAdpdhqUl2biYp5frUxE.jpg
Smile (2022): the curse spreads when you…	Witness a death	Say its name	Open a box	Fall asleep	30	1	https://image.tmdb.org/t/p/w342/nVAaj8QB3DVgwxMFigbZdAiIhiQ.jpg
Titanic (1997): the ship hits a(n)…	Iceberg	Reef	Another ship	Whale	20	1	https://image.tmdb.org/t/p/w342/9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg
Jurassic Park: dinosaur DNA is recovered from…	Mosquitoes in amber	Frozen bones	Cave paintings	Volcanic ash	20	1	https://image.tmdb.org/t/p/w342/63viWuPfYQjRYLSZSZNq7dglJP5.jpg
The Matrix: which pill shows Neo the truth?	Red pill	Blue pill	Green pill	Yellow pill	20	1	https://image.tmdb.org/t/p/w342/dXNAPwY7VrqMAo51EKhhCJfaGb5.jpg
Toy Story (1995): Andy's new toy is…	Buzz Lightyear	Slinky Dog	Mr. Potato Head	Rex	20	1	https://image.tmdb.org/t/p/w342/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg
Harry Potter: the Hogwarts train leaves from platform…	9¾	7½	10	4¾	20	1	https://image.tmdb.org/t/p/w342/wuMc08IPKEatf9rnMNXvIDxqP4W.jpg
Forrest Gump: "Life is like a box of…"	chocolates	crayons	memories	surprises	20	1	https://image.tmdb.org/t/p/w342/Cw4hIUIAmSYfK9QfaUW5igp9La.jpg
The Lord of the Rings: the One Ring must be destroyed in…	Mount Doom	Rivendell	Mordor Gate	Helm's Deep	20	1	https://image.tmdb.org/t/p/w342/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg
Finding Nemo: Marlin is searching for his son…	Nemo	Dory	Squirt	Gill	20	1	https://image.tmdb.org/t/p/w342/5lc6nQc0VhWFYFbNv016xze8Jvy.jpg
Pirates of the Caribbean: Jack Sparrow wants his ship, the…	Black Pearl	Flying Dutchman	Interceptor	Queen Anne's Revenge	20	1	https://image.tmdb.org/t/p/w342/poHwCZeWzJCShH7tOjg8RIoyjcw.jpg
Iron Man (2008): Tony Stark builds the first suit in a…	Cave	Billionaire lab	SHIELD jet	Stark Expo	20	1	https://image.tmdb.org/t/p/w342/78lPtwv72eTNqFW9COBYI0dWDJa.jpg
Avatar (2009): humans mine the planet…	Pandora	Arrakis	Krypton	Ego	20	1	https://image.tmdb.org/t/p/w342/gKY6q7SjCkAU6FqvqWybDYgUKIF.jpg
The Dark Knight (2008): Batman's nemesis is…	The Joker	Bane	Riddler	Penguin	20	1	https://image.tmdb.org/t/p/w342/qJ2tW6WMUDux911r6m7haRef0WH.jpg
Avengers: Endgame — who snaps everyone back?	Hulk	Iron Man	Captain America	Thor	30	1	https://image.tmdb.org/t/p/w342/ulzhLuWrPK07P1YkdWQLZnQh1JL.jpg
Frozen (2013): Elsa's power is…	Ice and snow	Fire	Lightning	Wind	20	1	https://image.tmdb.org/t/p/w342/itAKcobTYGpYT8Phwjd8c9hleTo.jpg
Black Panther (2018): Wakanda is hidden in…	Africa	South America	Antarctica	Australia	20	1	https://image.tmdb.org/t/p/w342/uxzzxijgPIY7slzFvMotPv8wjKA.jpg
Inception: Cobb's spinning top is a…	Totem	Bomb timer	Key	Compass	20	1	https://image.tmdb.org/t/p/w342/xlaY2zyzMfkhk0HSC5VUwzoZPU1.jpg
Parasite (2019) is from which country?	South Korea	Japan	China	Thailand	20	1	https://image.tmdb.org/t/p/w342/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg
Mad Max: Fury Road is mostly a chase through the…	Wasteland	Ocean	Forest	City	20	1	https://image.tmdb.org/t/p/w342/ulcAi4dKpAjHwYGS08vNyx9H6I9.jpg
Inside Out (2015): which emotion runs HQ at the start?	Joy	Sadness	Anger	Fear	20	1	https://image.tmdb.org/t/p/w342/2H1TmgdfNtsKlU9jKdeNyYL5y8T.jpg
Everything Everywhere All at Once: the family runs a…	Laundromat	Restaurant	Motel	Bookstore	30	1	https://image.tmdb.org/t/p/w342/u68AjlvlutfEIcpmbYpKcdi09ut.jpg
Top Gun: Maverick (2022) is a sequel to Top Gun from…	1986	1991	1996	2001	20	1	https://image.tmdb.org/t/p/w342/n0YuM4f5lvGAP6MAW2kBIzugXnc.jpg
Barbie (2023): Barbie travels from Barbieland to the…	Real world	Moon	Underworld	1980s	20	1	https://image.tmdb.org/t/p/w342/iuFNMS8U5cb6xfzi51Dbkovj7vM.jpg
Oppenheimer (2023): the first bomb test is called…	Trinity	Genesis	Prometheus	Vulcan	30	1	https://image.tmdb.org/t/p/w342/8Gxv8gSFCU0XGDykEGv7zR1n2ua.jpg
Dune (2021): the desert planet rich in spice is…	Arrakis	Tatooine	Pandora	Krypton	20	1	https://image.tmdb.org/t/p/w342/v1tRXZ4JtD2Iv6fjkPvT4GiwslV.jpg
Spider-Man: Across the Spider-Verse stars Miles from…	Brooklyn	Queens	Manhattan	Bronx	20	1	https://image.tmdb.org/t/p/w342/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg
Inside Out 2 (2024) adds which new emotion?	Anxiety	Jealousy	Boredom	Pride	20	1	https://image.tmdb.org/t/p/w342/vpnVM9B6NMmQpWeZvzLvDESb2QY.jpg
Wicked (2024) tells the story of Glinda and…	Elphaba	Ariel	Maleficent	Ursula	20	1	https://image.tmdb.org/t/p/w342/xDGbZ0JJ3mYaGKy4Nzd9Kph6M9L.jpg
Avatar: The Way of Water (2022) focuses on Pandora's…	Oceans	Mountains	Deserts	Cities	20	1	https://image.tmdb.org/t/p/w342/t6HIqrRAclMCA60NsSmeqe9RmNV.jpg
Nope (2022): the siblings try to film a UFO they nickname…	Jean Jacket	Red Eye	Sky Shark	The Drifter	30	1	https://image.tmdb.org/t/p/w342/AcKVlWaNVVVFQwro3nLXqPljcYA.jpg
Terrifier 3 (2024): the killer clown is…	Art the Clown	Pennywise	Captain Spaulding	Twisty	20	1	https://image.tmdb.org/t/p/w342/ju10W5gl3PPK3b7TjEmVOZap51I.jpg
Beetlejuice Beetlejuice (2024): say his name ___ times to summon him.	Three	Two	Five	Seven	20	1	https://image.tmdb.org/t/p/w342/kKgQzkUCnQmeTPkyIwHly2t6ZFI.jpg
A Quiet Place: Day One (2024) shows the invasion on…	Day one	Year ten	Mars	A submarine	20	1	https://image.tmdb.org/t/p/w342/2JhadBY56wfnGUFfTX1ftPW1nyL.jpg
